country,name,full_name,isin,currency,symbol,Type,Avg_Volume,Recommendation
brazil,INEPAR PN,Inepar SA Industria e Construcoes,BRINEPACNPR8,BRL,INEP4,PN,19056.0,none
brazil,Salesforce.com DRC,Salesforce com Inc DRC,BRSSFOBDR003,BRL,SSFO34,BDR,18155.0,none
brazil,Electro Aco Altona Pref,Electro Aco Altona SA,BREALTACNPR1,BRL,EALT4,PN,18012.0,none
brazil,FII FATOR VE,FII FATOR VE,BRVRTACTF008,BRL,VRTA11,FII/Unit,17878.0,none
brazil,FER HERINGER ON,Fertilizantes Heringer SA,BRFHERACNOR5,BRL,FHER3,ON,16942.0,none
brazil,Taurus Armas ON,Taurus Armas ON,BRTASAACNOR7,BRL,TASA3,ON,15746.0,none
brazil,PETTENATI PN,Pettenati SA Industria Textil,BRPTNTACNPR3,BRL,PTNT4,PN,15493.0,none
brazil,Banestes,Banestes SA Banco do Estado do Espirito Santo,BRBEESACNOR9,BRL,BEES3,ON,15265.0,none
brazil,Mercantil do Brasil Pref,Banco Mercantil do Brasil SA Pref,BRBMEBACNPR5,BRL,BMEB4,PN,14656.0,none
brazil,Trevisa Invest,Trevisa Investimentos SA,BRLUXMACNPR4,BRL,LUXM4,PN,14528.0,none
brazil,Visa Inc BDR,Visa Inc BDR,BRVISABDR000,BRL,VISA34,BDR,14368.0,none
brazil,LOG-IN ON,Log-in Logistica Intermodal SA,BRLOGNACNOR3,BRL,LOGN3,ON,14242.0,hold
